output_file,output_type,figure_or_table_number,description,intended_use
figures_slides\figure_6b_qlp_subsamples_compact_d_vstoxx.pdf,PDF,Figure 6B,Compact slide QLP subsample figure for ΔVSTOXX,slides
figures_slides\figure_6b_qlp_subsamples_compact_d_vstoxx.svg,SVG,Figure 6B,Compact slide QLP subsample figure for ΔVSTOXX,slides
figures_appendix\figure_6a_qlp_subsamples_d_bund.png,PNG,Figure 6A,QLP subsample evidence for ΔBund 10Y,appendix
figures_appendix\figure_6a_qlp_subsamples_d_bund.pdf,PDF,Figure 6A,QLP subsample evidence for ΔBund 10Y,appendix
figures_appendix\figure_6a_qlp_subsamples_d_bund.svg,SVG,Figure 6A,QLP subsample evidence for ΔBund 10Y,appendix
figures_slides\figure_6b_qlp_subsamples_compact_d_bund.png,PNG,Figure 6B,Compact slide QLP subsample figure for ΔBund 10Y,slides
figures_slides\figure_6b_qlp_subsamples_compact_d_bund.pdf,PDF,Figure 6B,Compact slide QLP subsample figure for ΔBund 10Y,slides
figures_slides\figure_6b_qlp_subsamples_compact_d_bund.svg,SVG,Figure 6B,Compact slide QLP subsample figure for ΔBund 10Y,slides
figures_appendix\figure_6a_qlp_subsamples_r_ttf.png,PNG,Figure 6A,QLP subsample evidence for TTF Return,appendix
figures_appendix\figure_6a_qlp_subsamples_r_ttf.pdf,PDF,Figure 6A,QLP subsample evidence for TTF Return,appendix
figures_appendix\figure_6a_qlp_subsamples_r_ttf.svg,SVG,Figure 6A,QLP subsample evidence for TTF Return,appendix
figures_slides\figure_6b_qlp_subsamples_compact_r_ttf.png,PNG,Figure 6B,Compact slide QLP subsample figure for TTF Return,slides
figures_slides\figure_6b_qlp_subsamples_compact_r_ttf.pdf,PDF,Figure 6B,Compact slide QLP subsample figure for TTF Return,slides
figures_slides\figure_6b_qlp_subsamples_compact_r_ttf.svg,SVG,Figure 6B,Compact slide QLP subsample figure for TTF Return,slides
figures_appendix\figure_6a_qlp_subsamples_r_brent.png,PNG,Figure 6A,QLP subsample evidence for Brent Return,appendix
figures_appendix\figure_6a_qlp_subsamples_r_brent.pdf,PDF,Figure 6A,QLP subsample evidence for Brent Return,appendix
figures_appendix\figure_6a_qlp_subsamples_r_brent.svg,SVG,Figure 6A,QLP subsample evidence for Brent Return,appendix
figures_slides\figure_6b_qlp_subsamples_compact_r_brent.png,PNG,Figure 6B,Compact slide QLP subsample figure for Brent Return,slides
figures_slides\figure_6b_qlp_subsamples_compact_r_brent.pdf,PDF,Figure 6B,Compact slide QLP subsample figure for Brent Return,slides
figures_slides\figure_6b_qlp_subsamples_compact_r_brent.svg,SVG,Figure 6B,Compact slide QLP subsample figure for Brent Return,slides
figures_appendix\figure_6a_qlp_subsamples_r_eua.png,PNG,Figure 6A,QLP subsample evidence for EUA Return,appendix
figures_appendix\figure_6a_qlp_subsamples_r_eua.pdf,PDF,Figure 6A,QLP subsample evidence for EUA Return,appendix
figures_appendix\figure_6a_qlp_subsamples_r_eua.svg,SVG,Figure 6A,QLP subsample evidence for EUA Return,appendix
figures_slides\figure_6b_qlp_subsamples_compact_r_eua.png,PNG,Figure 6B,Compact slide QLP subsample figure for EUA Return,slides
figures_slides\figure_6b_qlp_subsamples_compact_r_eua.pdf,PDF,Figure 6B,Compact slide QLP subsample figure for EUA Return,slides
